Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Type,City,State,Category,Sub_Category,Brand,Product_Name,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Revenue,COGS,Profit,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Review_Count,Is_Weekend_Order
EC-000001,2022-04-05,CUST0189,Rahul Kumar,VIP,Chandigarh,Punjab,Beauty,Face Cream,Lakme,Lakme Face Cream - 132,4,14265.64,10,5706.26,51356.3,31820.27,19536.03,Credit Card,Pending,2,3.0,20,0
EC-000002,2021-09-07,CUST0088,Pooja Nair,VIP,Jaipur,Rajasthan,Electronics,Laptop,Apple,Apple Laptop - 703,2,2424.32,20,969.73,3878.91,1619.15,2259.76,UPI,Returned,9,3.0,372,1
EC-000003,2024-06-09,CUST0294,Aditya Rao,New,Unknown,Karnataka,Electronics,Speaker,Xiaomi,Xiaomi Speaker - 194,4,2228.72,25,2228.72,6686.16,3980.05,2706.11,Net Banking,Delivered,3,1.2,385,0
EC-000004,2023-01-24,CUST0022,Sneha Reddy,VIP,Pune,Maharashtra,Electronics,Tablet,Xiaomi,Xiaomi Tablet - 180,4,2832.73,20,2266.18,9064.74,4453.26,4611.48,Cash on Delivery,Cancelled,8,3.0,252,0
EC-000005,2023-10-07,CUST0188,Pooja Nair,Premium,Lucknow,UP,Home & Kitchen,Cookware,Hawkins,Hawkins Cookware - 181,4,443.63,30,532.36,1242.16,692.42,549.74,Debit Card,Delivered,2,2.6,463,1
EC-000006,2023-03-12,CUST0135,Rohan Gupta,New,Ahmedabad,Gujarat,Electronics,Earbuds,OnePlus,OnePlus Earbuds - 723,3,5798.68,25,4349.01,13047.03,9067.28,3979.75,Wallet,Delivered,6,2.9,20,0
EC-000008,2023-04-21,CUST0264,Amit Tiwari,Returning,Delhi,Delhi,Home & Kitchen,Curtains,Bajaj,Bajaj Curtains - 371,2,1555.31,5,155.53,2955.09,1788.63,1166.46,Debit Card,Returned,8,3.0,430,1
EC-000009,2024-10-13,CUST0002,Vikram Singh,VIP,Jaipur,Rajasthan,Fashion,Sneakers,Adidas,Adidas Sneakers - 193,3,13648.87,10,4094.66,36851.95,17601.74,19250.21,Credit Card,Delivered,6,3.7,389,1
EC-000010,2024-10-03,CUST0218,Amit Tiwari,Premium,Bangalore,Karnataka,Electronics,Laptop,Realme,Realme Laptop - 666,2,8558.73,30,5135.24,11982.22,4905.45,7076.77,Credit Card,Returned,7,3.0,43,0
EC-000011,2023-11-11,CUST0271,Kavya Pillai,Returning,Surat,Gujarat,Beauty,Hair Oil,Lakme,Lakme Hair Oil - 564,2,5987.74,20,2395.1,9580.38,6495.48,3084.9,Credit Card,Delivered,2,3.9,455,0
EC-000012,2022-09-04,CUST0208,Karan Mehta,Returning,Jaipur,Rajasthan,Beauty,Hair Oil,Himalaya,Himalaya Hair Oil - 482,4,773.89,30,928.67,2166.89,1078.24,1088.65,Debit Card,Pending,5,3.0,236,0
EC-000013,2023-08-01,CUST0188,Divya Shah,Returning,Mumbai,Maharashtra,Sports,Swimming Goggles,Vector X,Vector X Swimming Goggles - 159,2,8141.41,20,3256.56,13026.26,7503.46,5522.8,Debit Card,Delivered,2,4.9,379,0
EC-000014,2021-09-25,CUST0009,Riya Bose,Returning,Unknown,Punjab,Sports,Yoga Mat,Decathlon,Decathlon Yoga Mat - 371,5,2199.77,15,1649.83,9349.02,5989.53,3359.49,Cash on Delivery,Delivered,3,1.3,343,0
EC-000015,2022-12-10,CUST0139,Neha Mishra,VIP,Jaipur,Rajasthan,Sports,Football,Nike,Nike Football - 629,1,3060.86,30,918.26,2142.6,860.59,1282.01,Net Banking,Pending,7,3.0,498,0
EC-000016,2021-10-18,CUST0261,Pooja Nair,New,Delhi,Delhi,Electronics,Laptop,Apple,Apple Laptop - 172,1,10699.0,10,1069.9,9629.1,6134.24,3494.86,Wallet,Cancelled,4,3.0,489,0
EC-000017,2023-02-17,CUST0033,Riya Bose,Returning,Delhi,Delhi,Beauty,Face Cream,LOreal,LOreal Face Cream - 652,2,1826.45,0,0.0,3652.9,2407.01,1245.89,Debit Card,Delivered,4,3.5,47,0
EC-000018,2024-07-07,CUST0227,Kavya Pillai,Premium,Ahmedabad,Gujarat,Beauty,Sunscreen,Mamaearth,Mamaearth Sunscreen - 533,5,10971.13,5,2742.78,52112.87,30812.63,21300.24,Net Banking,Delivered,2,4.5,100,1
EC-000019,2021-01-13,CUST0283,Pooja Nair,Returning,Mumbai,Maharashtra,Books,Travel Guide,Bloomsbury,Bloomsbury Travel Guide - 294,3,11435.7,25,8576.78,25730.32,14624.68,11105.64,Cash on Delivery,Delivered,6,4.1,392,1
EC-000020,2024-04-28,CUST0063,Sneha Reddy,New,Bangalore,Karnataka,Books,Self Help,Scholastic,Scholastic Self Help - 767,2,478.74,10,95.75,861.73,372.58,489.15,Cash on Delivery,Returned,2,3.0,351,1
